Abstract,IsLitigated
" A network-based system and method for providing anonymous voice communications using the telephone network and data communications links under the direction of a Call Broker and associated network elements. A user (the call initiator) present in a text chat room session establishes a data connection to Call Broker and, after qualifying for access (e.g., using credit card information) and providing a callback number, receives voice session information and participant access codes for each desired participant in a voice call. The initiator causes session information and participant codes to be passed to one or more selected chat participants in the current text chat room. When a selected participant uses the received session information, and enters the received participant code and a callback number, the Call Broker in cooperation with a Network Adjunct Processor (NAP) completes voice links to the initiator and the selected participant(s). The need for each party to have a second subscriber line is advantageously avoided by having the Call Broker arrange to have one or more voice links completed through a VoIP link, and further reduces the need for second lines for participants by forwarding a Call Broker-placed call to a busy participant line to the participant's Internet Service Provider (ISP), which then sends a message to the participant announcing one or more options for receiving the incoming call, including receiving the incoming call through a VoIP link. ",Yes
" The present invention provides a method and system for valuing patent assets based on statistical survival analysis. An estimated value probability distribution curve is calculated for an identified group of patent assets using statistical analysis of PTO maintenance fee records. Expected valuations for individual patent assets are calculated based on the value distribution curve and a comparative ranking or rating of individual patent assets relative to other patents in the group of identified patents. Patents having the highest percentile rankings would be correlated to the high end of the value distribution curve. Conversely, patents having the lowest percentile rankings would be correlated to the low end of the value distribution curve. Advantageously, such approach brings an added level of discipline to the overall valuation process in that the sum of individual patent valuations for a given patent population cannot exceed the total aggregate estimated value of all such patents. In this manner, fair and informative valuations can be provided based on the relative quality of the patent asset in question without need for comparative market data of other patents or patent portfolios, and without need for a demonstrated (or hypothetical) income streams for the patent in question. Estimated valuations are based simply on the allocation of a corresponding portion of the overall patent value   pie   as represented by each patents' relative ranking or position along a value distribution curve. ",No
" An on-line automated printing system quickly produces consistent printed materials. The system includes front-end customer setup and product setup modules available on a web server. A Print Ready File is produced embodying the product to be printed. The Print Ready File is compiled and all operations on the file can be completed via reference to the information contained therein. A state flag is associated with each element of the file, the flag having states such as preview, print, both, or none. The file is stored on an asset management file server. The file (unchanged) may be previewed or printed using internal flags and logic built-in to the PostScript language. A batcher service batches print jobs. A plater service accepts the Print Ready Files and outputs a plate file to a print vendor's ordering system. Over the Internet the plate file is sent to a vendor computer. The plate file is sent to a raster image processor (RIP) which outputs a bitmap to be printed. Included within the system are any number of hosted prepress applications, each a subsystem. A client application requests processing of a file by one of the subsystems. The client sends the parameters along with input and output files to a master service. The master service selects a lower-level service for conversion. A prepress application module (with hardcoded parameters) processes the file and outputs the result. ",No
" Equipment (10), or integrated cash register, designed to be used at the point of sale to effect both standard cash transactions and the associated payment transactions electronically, i.e. without cash changing hands. It comprises an electronic transaction unit (13) having a card input unit (13a) suitable for receiving a payment card (15) to enable payment; a single keyboard (12) for use in inputting the cash transaction data (DAT1), for activating the transaction, and also, where required, for inputting the PIN number associated with the payment card (15); and a GSM transmission/reception unit (18), or modem, for transmitting the data (DAT3) processed by the transaction unit (13), and which defines the payment to be made, via radio waves (24) to a remote reception unit (22), such as a bank. The integrated cash register (10) of this invention has an extremely compact structure characterized by a limited number of parts and, as it has been designed to be powered preferably by batteries (25) and does not, therefore, have any connection cables, is an extremely portable and manageable device. This integrated cash register may also be used to effect telephone calls. When not in use, it may also be connected to a fixed docking station (150), which may be used to charge the batteries, for example, or to connect the cash register to other data input/output devices and/or other computing/processing, equipment.| ",Yes
" A communications platform (Centerpost) is disclosed containing a message processing platform along with an XML message format (SmartMessage) which provides for the reception, organization, summarization, filing, storage, synthesis, routing, formatting, and intelligent processing of XML-based electronic messages and SMTP electronic mail from corporations and other senders to fully integrate individuals' existing e-mail boxes, cellular telephones, paging equipment, facsimile machines, wireless and wired telephones, and other devices. The Centerpost platform utilizes a nickname-based routing to enable device specific sending without knowledge of the specific device address. The Centerpost platform provides sender-defined information folios, which enable synthesized filing, viewing and storage of all received SmartMessages, and the platform allows semi-private access control for the user, which allows access by others. The platform also utilizes a web-based user interface, which greatly simplifies the user's viewing, control and configuration of the individual user's particular platform. The Centerpost SmartDelivery platform also allows for corporations to utilize the Centerpost functions for its customers without requiring those customers to have a Centerpost account. The platform also provides for Amateur Informants, which facilitate the use of the Centerpost system for individuals and small businesses. The platform also provides for 2-way XML messages, a Centerpost subscriber web page, an endpoint wallet, which allows subscribers to easily transfer their endpoint information, a message based endpoint configuration, which automatically sets up a new messaging device as an endpoint. ",Yes
" A system interactively controlled by a TV viewer remote control transmitter displays current or future programming information superimposed over the normal programming displayed on any channel accessible to the viewer's display screen. Identification signal data are accessed and generated by the computer for durations defined in the identification signal data either automatically or in response to the TV viewer remote. Information signal data are accessed and generated by the computer in response to the TV viewer remote. A signal combiner superimposes the identification signal or the information signal over the viewer usable signal of any selected channel from the tuner. The identification signal may include data defining an icon or textual matter alerting a viewer to the availability of information data. The information signal may include program descriptive data, schedule data, pricing data and/or payment authorization and recording prompt data and the like sequenced for interactive control of the computer by the viewer. The identification signal may be specially dedicated to a normal programming information channel so that the viewer can interact with respect to specific programs identified without changing from the programming information channel. Thus, the viewer is able to receive an automatic alert to availability of current and future programming and to elect to interactively exercise a variety of options with respect to such current and future programming without interruption of presently viewed programming. &lt;IMAGE&gt; ",No
" A system interactively controlled by a TV viewer remote control transmitter displays current or future programming information superimposed over the normal programming displayed on any channel accessible to the viewer's display screen. Identification signal data are accessed and generated by the computer for durations defined in the identification signal data either automatically or in response to the TV viewer remote. Information signal data are accessed and generated by the computer in response to the TV viewer remote. A signal combiner superimposes the identification signal or the information signal over the viewer usable signal of any selected channel from the tuner. The identification signal may include data defining an icon or textual matter alerting a viewer to the availability of information data. The information signal may include program descriptive data, schedule data, pricing data and/or payment authorization and recording prompt data and the like sequenced for interactive control of the computer by the viewer. The identification signal may be specially dedicated to a normal programming information channel so that the viewer can interact with respect to specific programs identified without changing from the programming information channel. Thus, the viewer is able to receive an automatic alert to availability of current and future programming and to elect to interactively exercise a variety of options with respect to such current and future programming without interruption of presently viewed programming.[US6157413A] ",No
" A system interactively controlled by a TV viewer remote control transmitter displays current or future programming information superimposed over the normal programming displayed on any channel accessible to the viewer's display screen. Identification signal data are accessed and generated by the computer for durations defined in the identification signal data either automatically or in response to the TV viewer remote. Information signal data are accessed and generated by the computer in response to the TV viewer remote. A signal combiner superimposes the identification signal or the information signal over the viewer usable signal of any selected channel from the tuner. The identification signal may include data defining an icon or textual matter alerting a viewer to the availability of information data. The information signal may include program descriptive data, schedule data, pricing data and/or payment authorization and recording prompt data and the like sequenced for interactive control of the computer by the viewer. The identification signal may be specially dedicated to a normal programming information channel so that the viewer can interact with respect to specific programs identified without changing from the programming information channel. Thus, the viewer is able to receive an automatic alert to availability of current and future programming and to elect to interactively exercise a variety of options with respect to such current and future programming without interruption of presently viewed programming. ",No
" A currency sorter has: take-in means ( 106 ) for taking currency notes in sorter one by one; discriminating means ( 105 ) for discriminating the currency notes; stacking means ( 111 to 115 ) for stacking the currency notes according to the discrimination result obtained by said discriminating means; bundling means ( 200 ) for bundling a predetermined number of the currency notes; a money returning unit at which an odd currency note which is a fraction of the predetermined number of the currency notes is returned, first conveyer means for conveying the predetermined number of the currency notes from all deposited in said stacking means with grabbing them to the bundling means; and second conveyer means for conveying the odd currency notes left in the stacking means with grabbing them to said money returning unit. The sorter may further have printing means ( 212 ) for imprinting predetermined information on a band supplied to said bundling means; and print control means ( 400 ) for controlling said printing means imprint information indicating one of stacking means from which the currency notes are derived, whether stacked currency notes are mixture of the new and old versions or discriminatively stacked new or old version or whether the currency notes are mixture of the fit and unfit conditions or discriminatively stacked fit and unfit condition. ",Yes
" A passive investment system based on indices created from various metrics is disclosed. The indexes may be built with metrics other than market capitalization weighting, price weighting or equal weighting. These metrics may include, but are not limited to book value, sales, revenue, earnings, earnings per share, income, income growth rate, dividends, dividends per share, earnings before interest, tax, depreciation and amortization, etc. Non-financial metrics may also be used to build indexes to create passive investment systems. Additionally, a combination of financial non-market capitalization metrics may be used along with non-financial metrics to create passive investment systems. Once the index is built, it may be used as a basis to purchase securities for a portfolio. As the data underlying the indexes changes because of, e.g., economic activity, the index may be updated and may be used as a basis to rebalance the portfolio. Alternatively, the index can be rebalanced when a pre-determined threshold is reached. Specifically excluded are widely-used capitalization-weighted indexes and price-weighted indexes, in which the price of a security contributes in a substantial way to the calculation of the weight of that security in the index or the portfolio. Valuation indifferent indexes of the present invention avoid overexposure to overvalued securities and underexposure to undervalued securities, as compared with conventional capitalization-weighted and price-weighted. Also specifically excluded are equal weighting weighted indexes. ",No
" An estate planning method for minimizing transfer tax liability with respect to the transfer of the value of stock options from a holder of stock options to a family member of the holder. The method comprises establishing a Grantor Retained Annuity Trust (GRAT) funded with nonqualified stock options. The method maximizes the transfer of wealth from the grantor of the GRAT to a family member by minimizing the amount of estate and gift taxes paid. By placing the options outside the grantor's estate, the method takes advantage of the appreciation of the options in said GRAT. In one embodiment the method also maximizes the amount transferred to the family member by keeping as many of the options as possible in the GRAT until immediately prior to the termination of the GRAT, when the grantor substitutes an equivalent value of assets into the GRAT for the remaining options, and then exercises the options. The method is used for evaluation purposes in establishing the GRAT, and responds to a variety of grantor-selected options. An Irrevocable Life Insurance Trust (ILIT) may also be established to provide life insurance should the grantor die before the termination of the GRAT. If the GRAT continues until its natural termination date the ILIT will receive the assets of said GRAT and may purchase further life insurance on the grantor. ",No
" A customer relationship management system for storing and managing information for an E-Business retailer. The customer relationship system includes a database system for storing and organizing said information, a logical data model defining the manner in which said information is stored and related within the database system, and a subject area within the logical data model defining the manner in which profile information concerning web site visitors to a web site operated by the E-Business retailer is stored and organized within the database system. Visitors may include any individuals, households or organizations that are of interest to the E-Business retailer. The profile information collected and organized within the database system in accordance with the logical data model may include information concerning household and organizational affiliations of said visitors; information concerning occupations of said visitors; information concerning income levels of said visitors; information concerning educational levels of said visitors; marital status information about said visitors; gender information about said visitors; ethnicity information about said visitors; residence information about said visitors; and language information about said visitors. Profile information may further include a customer score associated with each web site visitor, wherein a visitor's customer score is determined from previous behavior of the visitor with the E-Business retailer, and is an indication of the visitor's future behavior with the E-Business retailer. ",Yes
" A method and system for facilitating digital commerce using a secure digital commerce system is provided. The secure digital commerce system is arranged according to a client/server architecture and includes a modularized DCS client and DCS server. The DCS client and the DCS server are incorporated into an online purchasing system, such as a virtual store, to perform the purchase and online delivery of electronic content. The DCS client includes a set of components which include a secured copy of the merchandise and various components needed to license and purchase the merchandise and to unsecure and process (e.g., execute) the licensed merchandise. The DCS client communicates with the DCS server to download the components onto a customer's computer system and to license and purchase a requested item of merchandise. The DCS server, which includes a content supplier server, a licensing and purchasing broker, and a payment processing function, supplies merchandise-specific components and licenses the requested item of merchandise by generating an electronic certificate. The electronic certificate contains license parameters that are specific to the requested merchandise and an indicated purchasing option. Once a valid electronic license certificate for the requested merchandise is received by the DCS client, the merchandise is made available to the customer for use in accordance with the licensing parameters contained in the electronic license certificate. ",No
" There is provided a charging system or the like for charging a fee generated in an information provision system or the like using a communication network. An information provision system is set up which includes: a communication network including a communication apparatus C for monitoring a state of using a communication network; an attached terminal T for performing communication via the communication network; a processing apparatus H belonging to an administrator who manages a state of using communication of the attached terminal T; and a service provision apparatus I for providing the attached terminal T with information via the communication network. In a charging system for charging a fee generated by using this information provision system, the communication apparatus C includes: a fee calculation server for calculating a usage fee generated by using the information provision system; and a charging server for performing processing for charging the administrator this usage fee. In addition, the processing apparatus H includes: a payment acceptance processor for performing processing for the administrator to receive payment of a user's share set to a fixed amount in advance from a user of the attached terminal T; and a control processor for controlling generation of the usage fee according to charging conditions of the communication network at the time when the information provision system is used.| ",Yes
" A trading card optical compact disc and method of using and forming the compact disc are provided which are compatible with a disc reader having a centrally located spindle and a seating ring for supporting and rotating a compact disc positioned thereon. The trading card optical compact disc according to an embodiment of the invention preferably has at least a first plastic rectangular layer having a width of about 2.5 inches and a length of about 3.5 inches and having a pattern of digital data encoded thereon. A second metallic layer is formed on at least portions of the first plastic layer, and a third protective layer is formed on at least the second layer for protecting the metallic layer. An indicia bearing fourth layer is formed on the third layer and has a generally planar upper surface for displaying indicia therefrom. An opening extends through the first, second, third, and fourth layers in a medial portion thereof. A trading card interface seat is preferably integrally formed in at least the first layer for seating the trading card onto a loading tray of a disc reader so as to interface with only portions of the seating ring of the seating ring of the disc reader and to read digital data stored thereon from the trading card optical compact disc. ",No
" The present invention relates to improvements in or relating to pre-payment facilities, and is more particularly, although not exclusively, concerned with pre-payment of utility meters. Pre-payment systems have existed in many forms for a number of years. Early card or ticket meters were non-meter specific and typically comprised pre-encoded multi-value tokens with magnetic strips. These were inherently insecure with a lack of encryption and did into provide any data for the utility companies. Later magnetic card meters improved upon security with basic encryption and meter-specific tokens being employed. Key meters were subsequently developed where a non-volatile circuit memory device was integrated in a plastic key. Tokens were re-usable but were expensive and sometimes susceptible to static electricity but they did provide two-way data transfer whereby utility companies could make reasonable statistical analysis of customer use habits. Smart cards, or so-called memory cards, have been employed which have a silicon chip embedded into a credit card style card. The present invention provides a pre-payment system comprising a commodity supply network, including a network of point-of-sale terminals, consumer commodity terminal operable to control a supply of the commodity, wherein the point-of-sale terminals and the commodity supply network are linked by a two-way communications link, and wherein the point-of-sale terminals and the consumer commodity terminals are operable to receive smart cards.| ",Yes
" The present invention relates to improvements in or relating to pre-payment facilities, and is more particularly, although not exclusively, concerned with pre-payment of utility meters. Pre-payment systems have existed in many forms for a number of years. Early card or ticket meters were non-meter specific and typically comprised pre-encoded multi-value tokens with magnetic strips. These were inherently insecure with a lack of encryption and did into provide any data for the utility companies. Later magnetic card meters improved upon security with basic encryption and meter-specific tokens being employed. Key meters were subsequently developed where a non-volatile circuit memory device was integrated in a plastic key. Tokens were re-usable but were expensive and sometimes susceptible to static electricity but they did provide two-way data transfer whereby utility companies could make reasonable statistical analysis of customer use habits. Smart cards, or so-called memory cards, have been employed which have a silicon chip embedded into a credit card style card. The present invention provides a pre-payment system comprising a commodity supply network, including a network of point-of-sale terminals, consumer commodity terminal operable to control a supply of the commodity, wherein the point-of-sale terminals and the commodity supply network are linked by a two-way communications link, and wherein the point-of-sale terminals and the consumer commodity terminals are operable to receive smart cards. ",Yes
" A portfolio selector technique is described for selecting publicly traded companies to include in a stock market portfolio. The technique is based on a technology score derived from the patent indicators of a set of technology companies with significant patent portfolios. Typical patent indicators may include citation indicators that measure the impact of patented technology on later technology, Technology Cycle Time that measures the speed of innovation of companies, and science linkage that measures leading edge tendencies of companies. Patent indicators measure the effect of quality technology on the company's future performance. The selector technique creates a scoring equation that weights each indicator such that the companies can be scored and ranked based on a combination of patent indicators. The score is then used to select the top ranked companies for inclusion in a stock portfolio. After a fixed period of time, as new patents are issued, the scores are recomputed such that the companies can be re-ranked and the portfolio adjusted to include new companies with higher scores and to eliminate companies in the current portfolio which have dropped in score. A portfolio of the top 10-25 companies using this method and a relatively simple scoring equation has been shown to greatly exceed the S&amp;P 500 and other indexes in price gain over a ten year period. ",No
" In an electronic bidder system including a second computer having an output means and at least one buyer's computer having an electrically coupled input means and a monitor, said buyer's computer and said second computer being respectively located, said computers being used in cooperation in a multiple computer system in electronically communicating data between said computers, an electronic bidder process for selling fixed income instruments, the process including: inputting data associated with at least one price the buyer is willing to pay for at least one fixed income instrument into said buyer's computer via said input means; automatically computing a yield/discount rate based at least in part on said inputted data, said automatically computed yield/discount rate associated with said at least one fixed income instrument; presenting said price by outputting at least some of said inputted data from said buyer's computer over said multiple computer system; and communicating data associated with said price to said second computer over said multiple computer system and displaying, on said output means, information associated with said price including said computed yield/discount rate, wherein at least one of the inputting step, the presenting step, and the communicating step includes the step of using a computer program for receiving data from an other computer in said multiple computer system. ",No
" A system and method of evidencing postage payment includes selecting (200) a postal origin in a meter accounting unit, selecting (205) a requested postal value to be printed on a mailpiece, deducting (220) the requested postal value from a total postal value stored as a general account for the meter accounting unit, adding the requested postal value to a sub-account corresponding to the selected postal origin for the meter accounting unit, and printing (225) the requested postal value and the selected postal origin on the mailpiece. A digital token is generated as evidence of the requested postal value to be printed on the mailpiece. The digital token, which is also printed on the mailpiece, is encrypted information including the requested postal value and the selected postal origin. The accounting unit includes a first processor, secure accounting process, value storage and a digital signature generator. The value storage includes total postal value information and an origin postal value for each of a plurality of postal origins, wherein the PSD is authorized to dispense evidence of postage payment for each of the postal origins. The accounting unit performs accounting for each postage evidencing transaction, debiting the total postal value and incrementing one of the origin of postal values corresponding to the postage evidencing transaction. &lt;IMAGE&gt; ",No
" A method and apparatus for warehousing information in a wallet consolidator. The wallet consolidator includes a controller for controlling operation of the wallet consolidator, a magnetic stripe reader/writer for reading and writing magnetic stripes, a bar code scanner for scanning bar codes, a keypad for inputting user selections and commands, a memory for storing information provided to the wallet consolidator, a smart card interface for effectuating communication between the wallet consolidator and a smart card and a display screen for displaying text and graphics, the display screen further for displaying a bar code pattern capable of being scanned by a bar code reader. To store information in the wallet consolidator, or alternatively in a smart card interfaced to the wallet consolidator, information is read from magnetic stripes on various types of cards such as, but not limited to, credit, debit and identification cards. Additionally, images of the cards including, but not limited to, signatures and portraits are downloaded and stored. A user retrieves the information from any of the stored magnetic stripes and writes the information to a single magnetic stripe for use in a point of sale transaction. Similarly, stored images are retrieved and displayed on a display screen including a bar code which can be scanned by a bar code scanner. ",No
" A postage metering system includes a plurality of meter printers (20, 22) operatively connected as part of a metering network (10) and operating as client meter printers (20, 22) on the meter printer network. At least one postal security device (40) (PSD) is coupled to at least one of the client meter printers (local client meter printer). The PSD (40) includes unique identification the ability to store postal value and generate digital signatures. The client meter printers (20, 22) function as a postage metering network (10) wherein a client meter printer other than the local client meter printer (remote client meter printer) requests evidence of postage payment from the PSD (40) for concluding a postage metering transaction. The local client meter printer functions as a meter server and the remote client meter printer functions as a meter client on the postage metering network. The remote client meter printer initiates a postage metering transaction in the PSD (40) by sending a request for evidence of postage payment to the local client meter printer. The local client meter printer sends the request for the evidence of postage payment to the PSD (40), receives transaction information from the PSD (40) and sends the evidence of payment to the remote client meter printer for subsequent printing. &lt;IMAGE&gt; ",No
" A method and system for delivering data, goods, or services, by which additional data such as purchase history data, purchaser inherent data and accounting data, which correspond to a purchaser, are recorded in a rewritable medium, to which primary data is, rewritten or reloaded, and by which a high-security system can be easily configured by collating such additional data with corresponding additional data recorded in a computer of a data deliverer or management company. A purchaser purchases a purchaser record medium, to which primary data is rewritten or reloaded, at a shop. Further, the purchaser deposits, namely, writes cash data representing a predetermined amount of money thereto. At that time, the purchaser also writes purchaser inherent data thereto. When primary data, goods, or services are requested, data recorded in the purchaser record medium is sent to the data deliverers or management companies through communication networks and collated with past data recorded in computers of the data deliverers or management companies. If matched, the primary data, goods or service is delivered from the data deliverer or the management company. Additional data is then recorded in the purchase record medium. Simultaneously, additional data relating to the primary data, goods or service is recorded in the computers of the data deliverers or management companies. ",No
An automated method and article of manufacture are provided for processing large deposits that exceed an established deposit insurance limit so that the large deposits are fully insured. The large deposits are received by a plurality of banks from their depositors. A processor receives an order from a bank to process a large deposit. The processor partitions the large deposit into a plurality of deposit portions such that each deposit portion does not exceed the established deposit insurance limit. A network of banks is provided for receiving the plurality of deposit portions for deposit therein. The processor determines if there is an insufficient number of banks within the network of banks to receive all of the deposit portions. A loan is obtained from a lending bank using the processor if it is determined that there is an insufficient number of banks within the network of banks to receive all of the deposit portions. The amount of the loan is equal to the amount of the order to process the large deposit minus the amount that the network of banks can receive. The processor then assigns at least some of the deposit portions that the network of banks can receive to at least some of the banks in the network of banks.,No
" A customer making a credit card transaction inserts their smart card into a card reader attached to the merchant's system. The card reader activates the customer's card and passes certain merchant information. The merchant's system then requests a   billing digest   from the customer's card. The billing digest is returned to the merchant's card reader that forwards it (and the transaction information which includes customer information and merchant information) to the corresponding credit card issuer, which maintains the customer's credit card account. In one embodiment, the customer information and the merchant information are encrypted. Upon receiving the billing digest, transaction information is decrypted if necessary and the credit card issuer looks up the customer's master key using the customer's account number. The credit card issuer then uses the transaction information to re-compute the billing digest (an authentication billing digest) and compares this new value with the billing digest submitted by the merchant. If authentic, the billing digest and authentication billing digest values are equivalent, then funds are transferred and an acceptance notification is returned to the merchant. If not authentic, a denial notification is returned to the merchant. Security is further enhanced by utilizing a unique reference for each transaction in the unique customer information used for creating the billing digest. ",Yes
" A method and a system for a distributed electronic tournament system in which many remotely located players participate in a tournament through input/output devices connected to a central controller which manages the tournament. The method includes the steps of (a) uniquely identifying a player communicating with the central controller via an associated input/output device; (b) responding to payment of an entry fee by the player for allowing the player to participate in a tournament occurring within a fixed time window via an associated input/output device; (c) accessing a database to store in the database player information that is generated as the player participates in the tournament, such information being available for use in a subsequent tournament, which is administered by said controller and in which the player participates; and (d) awarding the player a prize for achieving a preestablished performance level in the tournament. In another preferred embodiment, the method further includes the steps of determining whether the player has been qualified to advance to a subsequent game session, in which at least one player is eliminated from the previous game session; and permitting each player qualified to a subsequent game session to participate in that game session. The system includes software and hardware to implement the method steps. ",No
" An environmental, health and safety (EH&amp;S) compliance system provides for real-time exchange of EH&amp;S data from various remote and disparate data sources. These sources are typically located within a client's firewall and accessed using a data uploader component. The data are then sent securely to a data importer, which can reside either behind the client's firewall or hosted externally. The importer is the main component that accepts the data from the data uploader. The data importer can also accept data securely from the client's internal system when prohibited by the client's security policy to allow inside the firewall polling. The uploader resides usually behind the client's firewall, typically on a central server and comprises an intuitive user interface and underlying secure architecture to facilitate data transfer. It preferably has a user interface to enable client-side control. The uploader component utilizes the secure data access technologies such as from Microsoft Corporation and other third party providers to connect to and integrate with disparate data sources while utilizing an extensible markup language (XML) Web Service technology to securely transfer data to the importer component. Usually the data are acquired by receiving exported data from third-party system or by interfacing with those systems using application programming interfaces or other access techniques. ",Yes
" A system and method of evidencing postage payment includes selecting a postal origin in a meter accounting unit, selecting a requested postal value to be printed on a mailpiece, deducting the requested postal value from a total postal value stored as a general account for the meter accounting unit, adding the requested postal value to a sub-account corresponding to the selected postal origin for the meter accounting unit, and printing the requested postal value and the selected postal origin on the mailpiece. A digital token is generated as evidence of the requested postal value to be printed on the mailpiece. The digital token, which is also printed on the mailpiece, is encrypted information including the requested postal value and the selected postal origin. The accounting unit includes a first processor, secure accounting process, value storage and a digital signature generator. The value storage includes total postal value information and an origin postal value for each of a plurality of postal origins, wherein the PSD is authorized to dispense evidence of postage payment for each of the postal origins. The accounting unit performs accounting for each postage evidencing transaction, debiting the total postal value and incrementing one of the origin of postal values corresponding to the postage evidencing transaction.[US6061670A] ",No
" Purchasing systems and methods are provided wherein a buyer takes possession of a product at a retailer. A purchasing system may communicate with a buyer through a communication network to establish a first price for a product between the buyer and a seller. The purchasing system may also arrange for the buyer to take possession of the product at a retailer, different from the seller, that offers the product for sale at a second price. Verification information, which enables the retailer to authorize the buyer to take possession of the product, is transmitted to the retailer. The buyer provides a payment, based on the first price, to the purchasing system in exchange for the right to take possession of the product at the retailer. In one embodiment, the purchasing system receives a buyer offer, including an offer price, related to the product. In another embodiment, the purchasing system transmits redemption information, including a redemption code, to the buyer. The redemption information may also include information that enables the creation of a voucher to be used when taking possession of the product. The purchasing system may also receive information related to an attempt by the buyer to take possession of the product, including the redemption code, from the retailer. ",No
" An objective is to provide a key management apparatus in a document security and editing system that controls and manages the usage rights of a document, allows a user with usage rights to read and edit freely according to user qualification, and manages the usage rights in compliance with document management rules established by an organization. The key management apparatus includes an encryption key memory 11 that stores an encrypted document identifier of an encrypted document and an encryption key of the encrypted document; a usage rights set memory 13 b that stores the encrypted document identifier and usage rights; a user group determiner 18 b that determines the usage rights of a user; a usage rights issuer 16 that receives a read request using the encrypted document identifier, refers to the encryption key memory and the usage rights set memory, and sends the usage rights and the encryption key of the encrypted document; and an encryption information issuer 17 that receives an edit request, refers to the encryption key memory and the usage rights set memory, instructs to generate an identifier of a document to be encrypted and a encryption key of the document to be encrypted, and sends the generated identifier and the generated encryption key. ",Yes
" An environmental, health and safety (EH&amp;S) compliance system provides for real-time exchange of EH&amp;S data from various remote and disparate data sources. These sources are typically located within a client's firewall and accessed using a data uploader component. The data are then sent securely to a data importer, which can reside either behind the client's firewall or hosted externally. The importer is the main component that accepts the data from the data uploader. The data importer can also accept data securely from the client's internal system when prohibited by the client's security policy to allow inside the firewall polling. The uploader resides usually behind the client's firewall, typically on a central server and comprises an intuitive user interface and underlying secure architecture to facilitate data transfer. It has a user interface to enable client-side control. The uploader component utilizes the secure data access technologies such as from Microsoft Corporation and other third party providers to connect to and integrate with disparate data sources while utilizing an extensible markup language (XML) Web Service technology to securely transfer data to the importer component. Usually the data are acquired by receiving exported data from third-party system or by interfacing with those systems using application programming interfaces or other access techniques. ",Yes
" A wristwatch having a built-in verification data IC chip generates a password. A portable terminal stores a first URL which specifies personal information of a user stored in a personal server, and transmits the first URL to a settlement device. The settlement device serves as a network access port for the portable terminal. The personal server is a server which manages personal data of the user that is distinguished by the first URL, and communicates with the settlement device and a service server via a network. The service server is a server for performing processing distinguished by a second URL. The service server executes the processing thereof by communicating with the settlement server and personal server via the network. Thus, the user can receive various types of services. Accordingly, a service providing system can be used with a portable terminal that does not hold any personal information therein. &lt;??&gt;The invention is particularly useful in the fields of electronic payment systems, electronic access systems for controlling the access of persons to restricted areas, ticket vending systems, passage surveillance systems, road toll systems, and medical record managing systems. Preferrably, personal verification is performed by checking fingerprints, iris patterns, voiceprints or other predetermined portions of the person's body. &lt;IMAGE&gt; [EP1213673A2] ",Yes
